embedding_dim,hidden_dim,learning_rate,weight_decay,epochs,batch_size,rmse
40,256,0.001,0.001,200,1024,1.1880886726906037
40,256,0.001,0.0001,200,1024,1.288627551132609
40,256,0.01,0.001,200,1024,0.9895677899930195
40,256,0.01,0.0001,200,1024,1.1240034457897163
40,512,0.001,0.001,200,1024,1.1725092379566
40,512,0.001,0.0001,200,1024,1.2193090183819006
40,512,0.01,0.001,200,1024,0.9653085677788329
40,512,0.01,0.0001,200,1024,1.102468185917298
40,1024,0.001,0.001,200,1024,1.131693214719352
40,1024,0.001,0.0001,200,1024,1.1630046569455457
40,1024,0.01,0.001,200,1024,0.9813970297708414
40,1024,0.01,0.0001,200,1024,1.1111223670601267
40,256,0.001,0.001,500,1024,1.183855084565603
40,256,0.001,0.0001,500,1024,1.2432563549702407
40,256,0.01,0.001,500,1024,0.9924135926729939
40,256,0.01,0.0001,500,1024,1.1197188715967559
40,512,0.001,0.001,500,1024,1.1381927057831844
40,512,0.001,0.0001,500,1024,1.165260824631585
40,512,0.01,0.001,500,1024,0.9990286878222251
40,512,0.01,0.0001,500,1024,1.1166013767361715
40,1024,0.001,0.001,500,1024,1.1355534509049148
40,1024,0.001,0.0001,500,1024,1.1223741191465875
40,1024,0.01,0.001,500,1024,0.9891150654930595
40,1024,0.01,0.0001,500,1024,1.1144826195868947
40,256,0.001,0.001,800,1024,1.158523798224381
40,256,0.001,0.0001,800,1024,1.1873152237738567
40,256,0.01,0.001,800,1024,1.0012854420536164
40,256,0.01,0.0001,800,1024,1.1310885762068534
40,512,0.001,0.001,800,1024,1.1461982955004044
40,512,0.001,0.0001,800,1024,1.1423124607681223
40,512,0.01,0.001,800,1024,1.010262579163926
40,512,0.01,0.0001,800,1024,1.1041636496928522
40,1024,0.001,0.001,800,1024,1.1445863469633504
40,1024,0.001,0.0001,800,1024,1.1069647705103085
40,1024,0.01,0.001,800,1024,1.0117975152774847
40,1024,0.01,0.0001,800,1024,1.0994724439122998
80,256,0.001,0.001,200,1024,1.0884456074993454
80,256,0.001,0.0001,200,1024,1.215670289125128
80,256,0.01,0.001,200,1024,0.9964214309557639
80,256,0.01,0.0001,200,1024,1.088630137278224
80,512,0.001,0.001,200,1024,1.0742823356536157
80,512,0.001,0.0001,200,1024,1.1478474457092354
80,512,0.01,0.001,200,1024,0.9714310677830893
80,512,0.01,0.0001,200,1024,1.074022920271601
80,1024,0.001,0.001,200,1024,1.073312272897873
80,1024,0.001,0.0001,200,1024,1.1340488921395226
80,1024,0.01,0.001,200,1024,1.0155948340997856
80,1024,0.01,0.0001,200,1024,1.0637563122070082
80,256,0.001,0.001,500,1024,1.051243676746053
80,256,0.001,0.0001,500,1024,1.1053515260907179
80,256,0.01,0.001,500,1024,0.9998567895863159
80,256,0.01,0.0001,500,1024,1.0689705559767715
80,512,0.001,0.001,500,1024,1.0482242486739741
80,512,0.001,0.0001,500,1024,1.0724367099040755
80,512,0.01,0.001,500,1024,0.9802736490982474
80,512,0.01,0.0001,500,1024,1.0967393079331729
80,1024,0.001,0.001,500,1024,1.0529288429026187
80,1024,0.001,0.0001,500,1024,1.049485439284947
80,1024,0.01,0.001,500,1024,1.0170471797790928
80,1024,0.01,0.0001,500,1024,1.4510395302885732
80,256,0.001,0.001,800,1024,1.0483098800918462
80,256,0.001,0.0001,800,1024,1.0655784328275715
80,256,0.01,0.001,800,1024,1.011655297369967
80,256,0.01,0.0001,800,1024,1.114511499437141
80,512,0.001,0.001,800,1024,1.065055354833378
80,512,0.001,0.0001,800,1024,1.0598481126144628
80,512,0.01,0.001,800,1024,1.0347122103713795
80,512,0.01,0.0001,800,1024,1.1111154470094216
80,1024,0.001,0.001,800,1024,1.0534929079994797
80,1024,0.001,0.0001,800,1024,1.0614700374138941
80,1024,0.01,0.001,800,1024,1.016962198130667
80,1024,0.01,0.0001,800,1024,1.117833837529991
160,256,0.001,0.001,200,1024,1.0298635815583432
160,256,0.001,0.0001,200,1024,1.0862156353992025
160,256,0.01,0.001,200,1024,1.011465033454324
160,256,0.01,0.0001,200,1024,1.0771297892445983
160,512,0.001,0.001,200,1024,1.0424000193087208
160,512,0.001,0.0001,200,1024,1.0558569182361355
160,512,0.01,0.001,200,1024,1.0101031508507343
160,512,0.01,0.0001,200,1024,1.054843297683377
160,1024,0.001,0.001,200,1024,1.031637639103143
160,1024,0.001,0.0001,200,1024,1.0328976156045644
160,1024,0.01,0.001,200,1024,1.015914758282801
160,1024,0.01,0.0001,200,1024,1.0729627445042327
160,256,0.001,0.001,500,1024,1.0408103983917487
160,256,0.001,0.0001,500,1024,1.0199990788623914
160,256,0.01,0.001,500,1024,0.9980585205832011
160,256,0.01,0.0001,500,1024,1.084840508617826
160,512,0.001,0.001,500,1024,1.0364745760208838
160,512,0.001,0.0001,500,1024,1.0227386184987828
160,512,0.01,0.001,500,1024,0.9788916316543048
160,512,0.01,0.0001,500,1024,1.1183501376117972
160,1024,0.001,0.001,500,1024,1.0504581564477333
160,1024,0.001,0.0001,500,1024,1.028243508509265
160,1024,0.01,0.001,500,1024,1.243705158287909
160,1024,0.01,0.0001,500,1024,3.128877903956339
160,256,0.001,0.001,800,1024,1.0532133750170567
160,256,0.001,0.0001,800,1024,1.0327221737143828
160,256,0.01,0.001,800,1024,1.0075239611254023
160,256,0.01,0.0001,800,1024,1.1273806602267415
160,512,0.001,0.001,800,1024,1.0449935175498417
160,512,0.001,0.0001,800,1024,1.020275385183046
160,512,0.01,0.001,800,1024,0.9888284246542652
160,512,0.01,0.0001,800,1024,1.1260017067979307
160,1024,0.001,0.001,800,1024,1.0557964005568077
160,1024,0.001,0.0001,800,1024,1.0224668836010842
160,1024,0.01,0.001,800,1024,3.4859049222305325
160,1024,0.01,0.0001,800,1024,1.330272240274843
250,256,0.001,0.001,200,1024,1.0336728966037354
250,256,0.001,0.0001,200,1024,1.0367350504441026
250,256,0.01,0.001,200,1024,0.9589624654904768
250,256,0.01,0.0001,200,1024,1.0839340610683852
250,512,0.001,0.001,200,1024,1.0265746628318007
250,512,0.001,0.0001,200,1024,1.0156953053715871
250,512,0.01,0.001,200,1024,1.0128938780061894
250,512,0.01,0.0001,200,1024,1.0587413164163262
250,1024,0.001,0.001,200,1024,1.0272920544748083
250,1024,0.001,0.0001,200,1024,1.0154856072649758
250,1024,0.01,0.001,200,1024,1.011323004540557
250,1024,0.01,0.0001,200,1024,1.0642172455822532
250,256,0.001,0.001,500,1024,1.0509121044038632
250,256,0.001,0.0001,500,1024,1.0205821617092536
250,256,0.01,0.001,500,1024,0.9363961715066758
250,256,0.01,0.0001,500,1024,1.0961145182876322
250,512,0.001,0.001,500,1024,1.042066262212247
250,512,0.001,0.0001,500,1024,1.0435994273781073
250,512,0.01,0.001,500,1024,1.1769881027093574
250,512,0.01,0.0001,500,1024,1.1260068414592068
250,1024,0.001,0.001,500,1024,1.043560817271412
250,1024,0.001,0.0001,500,1024,1.0441842871719447
250,1024,0.01,0.001,500,1024,1.419795181520085
250,1024,0.01,0.0001,500,1024,8.042196569294964
250,256,0.001,0.001,800,1024,1.052661560597839
250,256,0.001,0.0001,800,1024,1.02701862252576
250,256,0.01,0.001,800,1024,0.9472796252287735
250,256,0.01,0.0001,800,1024,1.1260005951671483
250,512,0.001,0.001,800,1024,1.0528551927642007
250,512,0.001,0.0001,800,1024,1.025910919430746
250,512,0.01,0.001,800,1024,0.945185786810666
250,512,0.01,0.0001,800,1024,1.1260093823138588
250,1024,0.001,0.001,800,1024,1.0543915509980921
250,1024,0.001,0.0001,800,1024,1.0271014373813807
250,1024,0.01,0.001,800,1024,1.6116870457262529
250,1024,0.01,0.0001,800,1024,1.2055720919741126
