latent_factors,learning_rate,epochs,batch_size,weight_decay,rmse
15,0.01,50,1024,0.001,1.206051821068203
15,0.01,50,1024,0.01,3.259767965472497
15,0.001,50,1024,0.001,1.2081963801326745
15,0.001,50,1024,0.01,3.2406355119201797
50,0.01,50,1024,0.001,1.213287927298462
50,0.01,50,1024,0.01,3.2632189196076253
50,0.001,50,1024,0.001,1.2117409286584468
50,0.001,50,1024,0.01,3.198920341985733
15,0.01,100,1024,0.001,1.201320335083591
15,0.01,100,1024,0.01,3.2581794221109863
15,0.001,100,1024,0.001,1.2066150923151955
15,0.001,100,1024,0.01,3.2458175743677
50,0.01,100,1024,0.001,1.2132337886372573
50,0.01,100,1024,0.01,3.263595461450229
50,0.001,100,1024,0.001,1.2062051161880036
50,0.001,100,1024,0.01,3.246982494113209
15,0.01,500,1024,0.001,1.1962043078235436
15,0.01,500,1024,0.01,3.2524809537853296
15,0.001,500,1024,0.001,1.1960453454706206
15,0.001,500,1024,0.01,3.2462108237480876
50,0.01,500,1024,0.001,1.196864896487626
50,0.01,500,1024,0.01,3.2495535030300973
50,0.001,500,1024,0.001,1.1960223714209752
50,0.001,500,1024,0.01,3.248257977110848
15,0.01,800,1024,0.001,1.1992294857774743
15,0.01,800,1024,0.01,3.2492098214498477
15,0.001,800,1024,0.001,1.1959019124019366
15,0.001,800,1024,0.01,3.2457463231174986
50,0.01,800,1024,0.001,1.1961077868075867
50,0.01,800,1024,0.01,3.249229193026543
50,0.001,800,1024,0.001,1.1951579573712974
50,0.001,800,1024,0.01,3.2471916095765274
